11;1;Smartfony;Produkty;0;Opis kategorii Smartfony;MetaSmartfony
12;1;Smartwatche i Smartbandy;Produkty;0;Opis kategorii Smartwatche i Smartbandy;MetaSmartwatche i Smartbandy
13;1;Klasyczne telefony komórkowe;Produkty;0;Opis kategorii Klasyczne telefony komórkowe;MetaKlasyczne telefony komórkowe
14;1;Karty pamięci;Produkty;0;Opis kategorii Karty pamięci;MetaKarty pamięci
15;1;Powerbanki;Produkty;0;Opis kategorii Powerbanki;MetaPowerbanki
16;1;Radiotelefony i krótkofalówki;Produkty;0;Opis kategorii Radiotelefony i krótkofalówki;MetaRadiotelefony i krótkofalówki
17;1;Baterie do telefonów;Produkty;0;Opis kategorii Baterie do telefonów;MetaBaterie do telefonów
18;1;Ładowarki do telefonów;Produkty;0;Opis kategorii Ładowarki do telefonów;MetaŁadowarki do telefonów
19;1;Uchwyty samochodowe;Produkty;0;Opis kategorii Uchwyty samochodowe;MetaUchwyty samochodowe
20;1;Pokrowce i etui do telefonów;Produkty;0;Opis kategorii Pokrowce i etui do telefonów;MetaPokrowce i etui do telefonów
21;1;Zestawy słuchawkowe;Produkty;0;Opis kategorii Zestawy słuchawkowe;MetaZestawy słuchawkowe
22;1;Pozostałe akcesoria telefoniczne;Produkty;0;Opis kategorii Pozostałe akcesoria telefoniczne;MetaPozostałe akcesoria telefoniczne
23;1;Okulary VR;Produkty;0;Opis kategorii Okulary VR;MetaOkulary VR
24;1;Telefony stacjonarne;Produkty;0;Opis kategorii Telefony stacjonarne;MetaTelefony stacjonarne
25;1;Zestawy głośnomówiące;Produkty;0;Opis kategorii Zestawy głośnomówiące;MetaZestawy głośnomówiące
26;1;Folie i szkła ochronne;Produkty;0;Opis kategorii Folie i szkła ochronne;MetaFolie i szkła ochronne
27;1;Obudowy do telefonów;Produkty;0;Opis kategorii Obudowy do telefonów;MetaObudowy do telefonów
28;1;Kijki do selfie;Produkty;0;Opis kategorii Kijki do selfie;MetaKijki do selfie
29;1;Paski i akcesoria do smartwatchy;Produkty;0;Opis kategorii Paski i akcesoria do smartwatchy;MetaPaski i akcesoria do smartwatchy
30;1;Telefony VoIP;Produkty;0;Opis kategorii Telefony VoIP;MetaTelefony VoIP
